"","accession_all","Freq"
"364","NR_199931.1",0
"365","NR_026327.1",0
"366","NR_114509.1",0
"367","NR_028934.1",0
"368","NR_026324.1",0
"369","NR_026323.1",0
"370","NR_074548.1",0
"371","NR_133950.1",0
"372","NR_029299.1",0
"373","NR_074672.1",0
"374","NR_118681.1",0
"375","NR_104752.1",0
"376","NR_116842.1",0
"377","NR_102954.1",0
"378","NR_028903.2",0
"379","NR_036784.1",0
"380","NR_041951.1",0
"381","NR_042955.1",0
"382","NR_042956.1",0
"383","NR_181965.1",0
"384","NR_042957.1",0
"385","NR_042958.1",0
"386","NR_025961.1",0
"387","NR_113658.1",0
"388","NR_074448.2",0
"389","NR_025960.1",0
"390","NR_029152.1",0
"391","NR_025738.1",0
"392","NR_113898.1",0
"393","NR_117707.1",0
"394","NR_152013.1",0
"395","NR_156047.1",0
"396","NR_117615.1",0
"397","NR_117708.1",0
"398","NR_152014.1",0
"399","NR_042021.1",0
"400","NR_113732.1",0
"401","NR_118398.1",0
"402","NR_117709.1",0
"403","NR_025685.1",0
"404","NR_118399.1",0
"405","NR_117706.1",0
"406","NR_152015.1",0
"407","NR_116198.1",0
"408","NR_117614.1",0
"409","NR_118400.1",0
"410","NR_117613.1",0
"411","NR_152016.1",0
"412","NR_027186.1",0
"413","NR_114102.1",0
"414","NR_118401.1",0
"415","NR_117644.1",0
"416","NR_027197.1",0
"417","NR_025686.1",0
"418","NR_118402.1",0
"419","NR_179653.1",0
"420","NR_044925.1",0
"421","NR_113733.1",0
"422","NR_118403.1",0
"423","NR_028683.1",0
"424","NR_201672.1",0
"425","NR_037018.1",0
"426","NR_074928.1",0
"427","NR_189230.1",0
"428","NR_041894.1",0
"429","NR_179534.1",0
"430","NR_201924.1",0
"431","NR_179651.1",0
"432","NR_179551.1",0
"433","NR_028221.1",0
"434","NR_119202.1",0
"435","NR_028246.1",0
"436","NR_043409.1",0
"437","NR_028245.1",0
"438","NR_043431.1",0
"439","NR_028211.1",0
"440","NR_126260.1",0
"441","NR_164619.1",0
"442","NR_042752.1",0
"443","NR_148579.1",0
"444","NR_148580.1",0
"445","NR_117182.1",0
"446","NR_179686.1",0
"447","NR_149202.1",0
"448","NR_116444.1",0
"449","NR_184592.1",0
"450","NR_170414.1",0
"451","NR_114629.1",0
"452","NR_114870.1",0
"453","NR_178345.1",0
"454","NR_178902.1",0
"455","NR_178292.1",0
"456","NR_178346.1",0
"457","NR_174207.1",0
"458","NR_041774.1",0
"459","NR_102933.1",0
"460","NR_115208.1",0
