"","rad_dada2_accession_all","Freq"
"397","BACHE_RS05530",0
"398","BACHE_RS09975",0
"399","BACHE_RS15650",0
"400","OQ273_RS23135",0
"401","IEY61_RS30625",0
"402","GJS45_RS24185",0
"403","GJS45_RS23560",0
"404","B0B04_RS07490",0
"405","Q5705_RS21035",0
"406","GJU02_RS00010",0
"407","GJU02_RS01750",0
"408","MNO13_RS02035",0
"409","MNO13_RS05385",0
"410","MNO13_RS19630",0
"411","MNO13_RS21210",0
"412","MNO13_RS23025",0
"413","MNO13_RS23230",0
"414","MNO13_RS23665",0
"415","MNO13_RS24230",0
"416","QWZ01_RS23775",0
"417","CJD36_RS22850",0
"418","BBA01S_RS39385",0
"419","BBA01S_RS39230",0
"420","BUB62_RS18625",0
"421","LPW30_RS15835",0
"422","IEW04_RS03635",0
"423","NUH29_RS07330",0
"424","BCM02_RS11630",0
"425","BCM02_RS13895",0
"426","BCM02_RS16200",0
"427","BCM02_RS16205",0
"428","BCM02_RS31085",0
"429","BCM02_RS31650",0
"430","BCM02_RS32640",0
"431","BCM02_RS33445",0
"432","BCM02_RS34110",0
"433","BCM02_RS34515",0
"434","BCM02_RS35010",0
"435","BCM02_RS35040",0
"436","EZ216_RS16900",0
"437","NW238_RS02820",0
"438","NW238_RS03525",0
"439","NW238_RS03565",0
"440","MOST_RS11795",0
"441","M1P97_RS26115",0
"442","M1P97_RS14830",0
"443","NX772_RS00430",0
"444","NX772_RS02420",0
"445","HNQ64_RS23735",0
"446","CRP15_RS16775",0
"447","CRP15_RS17390",0
"448","CRP15_RS17655",0
"449","CRP15_RS21955",0
"450","FCN15_RS02835",0
"451","FCN15_RS16100",0
"452","FCN15_RS17970",0
"453","FCN15_RS05700",0
"454","FCN15_RS18950",0
"455","FCN15_RS18975",0
"456","FCN15_RS18980",0
"457","FCN15_RS18990",0
"458","FCN15_RS18995",0
"459","FCN15_RS19005",0
"460","FCN15_RS19015",0
"461","FCN15_RS19025",0
"462","FCN15_RS19055",0
"463","FCN15_RS19070",0
"464","FCN15_RS19085",0
"465","FCN15_RS19090",0
"466","BMX42_RS14400",0
"467","Tther_RS04645",0
"468","Tther_RS04670",0
"469","KH389_RS00580",0
"470","KH389_RS03190",0
"471","KH389_RS08170",0
"472","KH389_RS10105",0
"473","KH389_RS22940",0
"474","KH389_RS24425",0
"475","JR347_RS02320",0
"476","JR347_RS17085",0
"477","JUB15_RS28250",0
"478","BUA78_RS19490",0
"479","BUA78_RS09175",0
"480","BUA78_RS13005",0
"481","BUA78_RS00015",0
"482","BUA78_RS17940",0
"483","JG29_RS07905",0
"484","J3495_RS18805",0
"485","AAGD89_RS05810",0
"486","CRN96_RS13115",0
"487","QWT87_RS20770",0
"488","L4C38_RS00005",0
"489","L4C38_RS00205",0
"490","L4C38_RS00220",0
"491","L4C38_RS00245",0
"492","L4C38_RS17445",0
"493","L4C38_RS20825",0
"494","L4C38_RS21220",0
"495","L4C38_RS21260",0
"496","L4C38_RS21280",0
"497","L4C38_RS21290",0
"498","L4C38_RS13575",0
"499","G404_RS0117315",0
"500","HW423_RS10840",0
"501","AOZ13_RS13480",0
"502","C442_RS00025",0
"503","C442_RS05995",0
"504","C442_RS13810",0
"505","C442_RS16105",0
"506","C442_RS19270",0
"507","C442_RS20695",0
"508","C442_RS20700",0
"509","N7E60_RS00100",0
"510","N7E60_RS01570",0
"511","N7E60_RS01635",0
"512","N7E60_RS03570",0
"513","N7E60_RS11350",0
"514","N7E60_RS12080",0
"515","N7E60_RS12930",0
"516","N7E60_RS13285",0
"517","N7E60_RS13720",0
"518","U8T64_RS03210",0
"519","U8T64_RS13820",0
"520","AA0Y26_RS00585",0
"521","AA0Y26_RS00740",0
"522","AA0Y26_RS01000",0
"523","AA0Y26_RS06440",0
"524","AA0Y26_RS16875",0
"525","AA0Y26_RS19195",0
"526","AA0Y26_RS20160",0
"527","AA0Y26_RS20535",0
"528","AA0Y26_RS21580",0
"529","AA0Y26_RS22460",0
"530","AA0Y26_RS22655",0
"531","AA0Y26_RS22965",0
"532","AA0Y26_RS23025",0
"533","DFR26_RS10975",0
"534","HMPREF0494_RS00005",0
"535","KZX47_RS13065",0
"536","KZX47_RS13710",0
"537","KZX47_RS05550",0
"538","KZX47_RS06020",0
"539","G6N34_RS05170",0
"540","G6N34_RS09770",0
"541","ACWNYQ_RS00680",0
"542","R2N11_RS26270",0
"543","MTX78_RS00330",0
"544","MTX78_RS02870",0
"545","MTX78_RS16360",0
"546","MTX78_RS24695",0
"547","DB723_RS02110",0
"548","EP13_RS00155",0
"549","EP13_RS01870",0
"550","EP13_RS12125",0
"551","EP13_RS15535",0
"552","EP13_RS16135",0
"553","G441_RS0113540",0
"554","G441_RS0116380",0
"555","G441_RS0116390",0
"556","ETQ85_RS24170",0
"557","ETQ85_RS25370",0
"558","ETQ85_RS20255",0
"559","ACGHIN_RS08180",0
"560","DLM75_RS23965",0
"561","OU419_RS03200",0
"562","OU419_RS11055",0
"563","OU419_RS23955",0
"564","OU419_RS27960",0
"565","RGR602_RS00305",0
"566","RGR602_RS16180",0
"567","RGR602_RS18185",0
"568","QOR82_RS09020",0
"569","PCORN_RS04340",0
"570","PCORN_RS06915",0
"571","PCORN_RS11865",0
"572","PCORN_RS14010",0
"573","PCORN_RS16745",0
"574","PCORN_RS16830",0
"575","TEK04_RS21145",0
"576","BK582_RS01485",0
"577","BK582_RS02380",0
"578","BK582_RS04800",0
"579","BK582_RS05340",0
"580","BK582_RS09615",0
"581","BK582_RS14825",0
"582","BK582_RS19960",0
"583","BK582_RS24235",0
"584","GGQ91_RS27870",0
"585","BT797_RS10735",0
"586","FR932_RS14475",0
"587","FR932_RS16155",0
"588","FR932_RS16180",0
"589","FR932_RS16390",0
"590","FR932_RS16410",0
"591","FR932_RS16790",0
"592","FR932_RS17630",0
"593","FR932_RS17685",0
"594","FR932_RS17705",0
"595","FR932_RS17720",0
"596","FR932_RS17735",0
"597","FR932_RS17990",0
"598","FR932_RS18390",0
"599","FR932_RS18405",0
"600","FR932_RS18685",0
"601","FR932_RS20485",0
"602","FR932_RS20955",0
"603","HNR42_RS04105",0
"604","HNR42_RS08955",0
"605","HNR42_RS12995",0
"606","HNR42_RS18130",0
"607","N4T19_RS02100",0
"608","N4T19_RS12750",0
"609","N4T19_RS12775",0
"610","N4T19_RS12800",0
"611","N4T19_RS14070",0
"612","N4T19_RS14095",0
"613","N4T19_RS14120",0
"614","B8978_RS19350",0
"615","B8978_RS15250",0
"616","B8978_RS17050",0
"617","B8978_RS12800",0
"618","B8978_RS18865",0
"619","B8978_RS18785",0
"620","AYR53_RS00265",0
"621","AYR53_RS01590",0
"622","AYR53_RS06130",0
"623","AYR53_RS07780",0
"624","AYR53_RS12040",0
"625","L6421_RS08760",0
"626","L6421_RS10240",0
"627","L6421_RS11405",0
"628","JEZ96_RS00175",0
"629","JEZ96_RS01030",0
"630","JEZ96_RS01815",0
"631","JEZ96_RS04740",0
"632","JEZ96_RS11745",0
"633","JEZ96_RS18140",0
"634","JEZ96_RS18420",0
"635","JEZ96_RS19295",0
"636","M5I08_RS10055",0
"637","M5I08_RS14540",0
"638","RC54_RS02460",0
"639","RC54_RS20495",0
"640","RC54_RS24580",0
"641","MYB_RS03040",0
"642","FFM53_RS13020",0
"643","FFM53_RS15670",0
"644","FFM53_RS17665",0
"645","DAD186_RS00865",0
"646","DAD186_RS04425",0
"647","DAD186_RS07715",0
"648","CWE07_RS11385",0
"649","CWE07_RS13290",0
"650","CWE07_RS14180",0
"651","CWE07_RS14250",0
"652","AREALGSMS7_RS02385",0
"653","AREALGSMS7_RS22985",0
"654","AREALGSMS7_RS23975",0
"655","KEC93_RS00045",0
"656","KEC93_RS00670",0
"657","KEC93_RS02085",0
"658","KEC93_RS04200",0
"659","KEC93_RS04230",0
"660","KEC93_RS08965",0
"661","KEC93_RS09970",0
"662","KEC93_RS10015",0
"663","KEC93_RS14830",0
"664","KEC93_RS19915",0
"665","KEC93_RS24675",0
"666","KEC93_RS24720",0
"667","KEC93_RS24765",0
"668","KEC93_RS24780",0
"669","KEC93_RS25635",0
"670","KEC93_RS25650",0
"671","BKA05_RS06465",0
"672","BKA05_RS09775",0
"673","BKA05_RS09790",0
"674","C8N47_RS18480",0
"675","QJ521_RS09595",0
"676","N911_RS0100595",0
